"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Harry A. and Margaret D. Towsley Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,25000,"Program support;General support","PROGRAM SUPPORT"
"The Eugene Applebaum Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,25000,"","EDUCATION &amp; RESEARCH"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,25000,"",""
"Amyotrophic Lateral Sclerosis Association","VA","Spectrum Health Foundation","Grand Rapids","MI","Health ",2020,25000,"","Certified treatment center of excellence grant"
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,25000,"","General funding 501(C)3"
"Barry Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,24000,"General support","General support"
"THE GREENVILLE AREA COMMUNITY FOUNDATION","MI","Spectrum Health United Memorial Foundation","Greenville","MI","Community health care ",2020,23013,"","Various"
"Fremont Area Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2020,20100,"","Spectrum Health Big Rapids and Reed City Hospitals COVID-19 Response ; Board Staff Match"
"The Jewish Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","School-based health care ",2020,20000,"","Cbt tele-counseling in school-based health clinic setting"
"The Kirk Gibson Foundation for Parkinson's","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,20000,"","Parkinson&#039;s support"
"Flagstar Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,20000,"","See Attached General Explanation"
"University of Pittsburgh","PA","Corewell Health","Grand Rapids","MI","Community health care ",2020,18950,"","Research- subcontract"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Big Rapids","MI","Nursing care ",2020,15000,"","Nurse Navigator program"
"Wolverine World Wide Foundation","MI","Spectrum Health Foundation","Big Rapids","MI","Education ",2020,15000,"","HEALTH - GENERAL PURPOSES CONTRIBUTION TO SUPPORT THE EXEMPT PURPOSES OF THE ORGANIZATION. NOT LIMITED TO ANY SPECIFIC PROGRAM OF THE ORGANIZATION."
"Oakland County Bar Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Legal services ",2020,15000,"Equal access","Provide free legal services for children and low-income families when they are admitted to the hospital"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,15000,"","Charitable"
"Raymond James Charitable Endowment Fund","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,15000,"","General use and/or special fund/project"
"Trust Uw William Gilbert","OH","Corewell Health","Grand Rapids","MI","Community health care ",2020,13500,"","Distributions are paid to named charity per terms of the governing document to help defray expenses of the charity."
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,12089,"","SUPPORT CHARITABLE PROGRAMS"
"Sinai Medical Staff Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,11000,"","Nonrestricted funds"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10737,"General support","Unrestricted general"
"American Online Giving Foundation Inc","DE","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10561,"General support","General support"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"General support","GENERAL/OPERATING"
"Delta Dental Fund D/b/a Delta Dental Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Hospital care ",2020,10000,"","COVID HOSPITAL FUND"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"General support","UNRESTRICTED GENERAL SUPPORT"
"Robert Nelson Foundation","CA","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2020,10000,"Program support;Equal access","SUPPORT HEALTHCARE FOR UNDERSERVED CHILDREN"
"Gerson Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"General support","GENERAL SUPPORT"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"","NON-PROFIT"
"Trott Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"","GENERAL WELFARE"
"Dte Energy Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"","HUMAN NEEDS"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"",""
"Richard and Jane Manoogian Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"General support","Operating Fund"
"Tawila Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"","Humanitarian Purposes"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"General support","Operating support"
"Enterprise Holdings Foundation","MO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"Program support","Program Support"
"June and Cecil McDole Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"","Medical research"
"Thom and Connie Lipari Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Human services ",2020,10000,"Program support","Payments for assistance to indigent families"
"The Baum Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,10000,"","General contributions"
"Denso North America Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Disaster relief ",2020,10000,"","COVID 19 Relief"
"Raymond James Charitable Endowment Fund","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"","General use and/or special fund/project"
"The Pearson Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,10000,"","Pediatric rehabilitation"
"Jacob Best Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,9000,"General support","General support"
"Wilkinson Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,8000,"","Community"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,7400,"",""
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,6793,"General support","Unrestricted general"
"Mary and George Herbert Zimmerman Foundation (att Joan C Skrzyniarz)","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,6500,"","Charitable"
"Community Foundation for Muskegon County","MI","Spectrum Health Foundation Ludington Hospital","Ludington","MI"," ",2020,6250,"General support","GENERAL OPERATING SUPPORT"
"Louis and Helen Padnos Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2020,6000,"","Program Service"
"Smith Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,6000,"General support","GENERAL SUPPORT"
"The Seligman Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,6000,"","Charitable without restrictions"
"Enterprise Holdings Foundation","MO","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,5500,"Program support","Program Support"
"Michigan Health & Hospital Association D/b/a Mha","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,5500,"General support","General support"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2020,5000,"","NON-PROFIT"
"Plym Foundation","IN","Spectrum Health Lakeland","Grand Rapids","MI"," ",2020,5000,"","HOPE GROWS"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,5000,"","EVENT SPONSOR"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,5000,"General support","OPERATIONS"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Gift distribution ",2020,5000,"","HOLIDAY CELEBRATIONS FOR CHILDREN HOSPITALIZED DURING THE 2020 HOLIDAY SEASON"
"Albemarle Foundation","NC","Spectrum Health United","Greenville","MI","Hospital care ",2020,5000,"","PROGRAM ASSISTANCE"
"Coleman Family Foundation","MI","Spectrum Health United","Greenville","MI","Hospital care ",2020,5000,"","CHARITABLE DONATION"
"Richard P and Doris H Beneicke Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2020,5000,"Leadership and professional development","TO PROVIDE MEDICAL TRAINING AND TREATMENT."
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,5000,"","CHARITABLE"
"Grand Rapids Community Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2020,5000,"",""
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,5000,"General support","General support"
"Michigan Health & Hospital Association D/b/a Mha","MI","Corewell Health","Grand Rapids","MI","Community health care ",2020,5000,"General support","General support"
"The Fruehauf Foundation","TX","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Welfare ",2020,4000,"General support","PUBLIC WELFARE OPERATING SUPPORT"
"Jack and Aletha Goodale Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,4000,"","Various"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,3285,"",""
"Great Lakes Castings Corporation Foundation","MI","Spectrum Health Foundation Ludington Hospital","Ludington","MI"," ",2020,3000,"Program support;General support","PROGRAM SUPPORT"
"Sieg Dunlap Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,3000,"","MEDICAL"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,3000,"",""
"Johns Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,3000,"","Charitable"
"The Chase and Luke Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,3000,"","Nicu unit"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,2650,"","Outreach"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,2600,"",""
"Commerce Bancshares Foundation","MO","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,2500,"","COVID-19 NEEDS IN WEST MICHIGAN"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,2500,"","Contribution"
"Land O L Foundation","MN","Spectrum Health United","Greenville","MI","Foundations ",2020,2400,"","Member co-op matches"
"Wm O and Margaret H Dewitt Foundation","OH","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,2000,"General support","GENERAL"
"The Samuel L Westerman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,2000,"","Charitable"
"Enterprise Holdings Foundation","MO","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,2000,"Program support","Program Support"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,2000,"","Charitable"
"Harold & Joan Feinbloom Family Foundation","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,2000,"","Covid-19 fund"
"Temple University","PA","Corewell Health","Grand Rapids","MI","Community health care ",2020,1960,"","Research subcontract"
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1530,"","MATCHING GIFTS"
"Deporre Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,1500,"","CHARITABLE"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1500,"",""
"Enterprise Holdings Foundation","MO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,1500,"Program support","Program Support"
"David & Mary Slikkers Family Foundation","MI","Helen DeVos Childrens Hospital - Spectrum Health Research Department","Grand Rapids","MI"," ",2020,1000,"General support","GENERAL"
"Patrick and Christie Scoggin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,1000,"General support","Unrestricted"
"Sandy Family Foundation Inc","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2020,1000,"","SUPPORT FOR MEDICAL ASSISTANCE"
"Nate and Elissa Lowery Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Rev Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"Capital campaigns","HOPE INSPIRES CAMPAIGN"
"Michael and Andrea Abraham Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Jerry & Marcia Tubergen Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Dte Energy Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"","HUMAN NEEDS"
"Sayed Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,1000,"","CHARITY"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,1000,"",""
"Textron Charitable Trust","RI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2020,625,"","MATCHING GIFT TO HEALTH &amp; HUMAN SERVICES AGENCY"
"The Lisa and Brian Meer Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,600,"General support","GENERAL USE"
"Essendant Charitable Foundation Attn Tax","IL","Corewell Health","Grand Rapids","MI","Community health care ",2020,590,"General support","GENERAL FUND"
"Berghammer Construction Foundation Inc","WI","Spectrum Health Worth Services","Grand Rapids","MI","Public health ",2020,500,"","GENERAL CHARITABLE"
"Harold D Wetterberg Foundation","NJ","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,500,"General support","GENERAL"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,500,"General support","GENERAL SUPPORT"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,500,"General support","GENERAL OPERATING SUPPORT"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,500,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,500,"",""
"Morley Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2020,300,"","HEALTH"
"Sacred Family Causes Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,250,"","Charitable"
"Lyle and Diane Foundation Medical Research Foundation of Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Elementary and secondary education ",2020,250,"","Public school education"
"Rajendra and Pratibha Modi Family Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,250,"","Charitable contribution"
"Arthur J Gallagher Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,200,"General support","GENERAL EXEMPT PURPOSE"
"IBM International Foundation","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2020,150,"","EMPLOYEE MATCHING GRANT"
"Cinnaire Corporation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,100,"General support","GENERAL SUPPORT"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,100,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,100,"","Matching grants"
"John E Fetzer Institute Inc","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2020,100,"","Matching grant"
"Lamb Weston Charitable Foundation","ID","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2020,50,"","COMMUNITY SUPPORT"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,50,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,50,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,50,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,25,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,25,"","Matching grants"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2020,25,"","Matching grants"
"Lois Walts-Farrell Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","University education ",2020,19,"General support","General FundGeneral Fund"
"Brother's Brother Foundation","PA","Corewell Health","Grand Rapids","MI","Community health care ",2020,NA,"Regranting","GRANT FOR MEDSURG ROJECTS AND TREADWAYS GRANTS"
"Direct Relief","CA","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI","Health care clinics ",2020,NA,"","Support to us clinics &amp; health centers for low-income, uninsured patients"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,3350000,"General support","Unrestricted Grant to General Fund"
"Kent Community Health Foundation","MI","Spectrum Health Hospitals","Grand Rapids","MI","Religion ",2019,1311235,"","Support of the SHH Mission"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,1067333,"Program support","Program support"
"The Fred a & Barbara M Erb Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,500000,"",""
"Michigan Health Endowment Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Emergency care ",2019,438214,"","Improving the care of patients with mental health disorders in the emergency department"
"Corewell Health Group Return","MI","Corewell Health","Grand Rapids","MI","Community health care ",2019,426028,"General support","General support"
"Community Foundation for Southeast Michigan","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2019,400000,"","Addiction medicine consult service"
"Steve & Amy Van Andel Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,400000,"Program support","Health &amp; human services"
"Grosfeld Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,400000,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,387546,"","For grant recipient&#039;s exempt purposes"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,354500,"General support","Unrestricted Grant to General Fund"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2019,342201,"","Cf care center"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,305000,"General support","Unrestricted Grant to General Fund"
"Gilbert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,300000,"","Educational"
"Natl Christian Charitable Foundation Inc","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,280525,"","Poverty"
"Barry Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,276419,"General support","General support"
"The Joshua-Jim and Eunice Stone Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,260000,"Research","For research"
"The Douglas F Allison Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,250000,"","Ge"
"The June and Robert Gurwin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,250000,"","Charitable purposes"
"The Eugene Applebaum Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,250000,"","Education &amp; Research"
"Marvin and Betty Danto Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,245000,"","Unrestricted charitable gift"
"John and Judy Spoelhof Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,225000,"General support","GENERAL OPERATIONS"
"Michigan Health Endowment Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2019,223049,"","Expanding advanced care planning in the clinical and community setting"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,160000,"General support","Operating support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Big Rapids","MI","Graduate and professional education ",2019,158500,"Awards, prizes and competitions","MULTIPLE GRANTS AWARDED"
"James and Catherine Rosenthal Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Insurance ",2019,110000,"","Premium for life insurance policy"
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,102000,"","Provide support to the organization"
"Richard and Jane Manoogian Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,100000,"General support","Operating Fund"
"Minneapolis Foundation","MN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,100000,"General support","For general operating support, the Richard Devos Heart &amp; Lung Transplant Program"
"Masco Corporation Charitable Trust","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,100000,"Program support","Clinical language program support"
"Donald and Mary Kosch Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2019,100000,"","Support of healthy dearborn"
"Donald and Mary Kosch Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Alzheimer's Disease and other forms of dementia ",2019,100000,"","Donald &amp; mary kosch memory care"
"Donald and Mary Kosch Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Family counseling ",2019,100000,"","Center for exceptional families"
"Douglas a & Margaret E Decamp Foundation","MI","Spectrum Health United","Greenville","MI","Hospital care ",2019,100000,"","Support for Year 1 of 5 year pledge at $100K per year"
"Rite Aid Healthy Futures","PA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Public health ",2019,95300,"","Support the local health and wellness program"
"Detroit & Wayne County Tuberculosis Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,94382,"","Respiratory equip"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,82080,"","Adult care"
"The Reinvestment Fund","PA","Spectrum Health Foundation","Grand Rapids","MI","Sustainable finance ",2019,75000,"","To support advance practices that position and align community investment systems to increase capital flows to investments with high equity impact investments and to take steps to develop a pipeline of catalytic, financeable built environment projects focused on increasing equity"
"Ethel and James Flinn Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Secondary education ",2019,75000,"","To implement mental health services via tele-counseling model for teens attending annapolis high school"
"Seattle Children's Hospital","WA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2019,70797,"Research","Pediatric medical research grant subaward"
"Fidelity Investments Charitable Gift Fund","MA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,67250,"","For grant recipient&#039;s exempt purposes"
"Gladys Friant Trust Under Will","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,62453,"General support","General operating support"
"Variety Club Charity for Children DBA Variety the Children's Charity","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,61000,"","To benefit children"
"Michigan Center for Rural Health","MI","Corewell Health","Grand Rapids","MI","Education ",2019,58800,"Policy, advocacy and systems reform","See statement 1."
"Children's Hospital of Michigan Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2019,57740,"Research","STUDY TO EXAMINE THE ACUTE AND LONG-TERM CLINICAL UTILITY OF RAPID WHOLE GENOME SEQUENCING ACROSS LARGER REGIONS, ETHNIC AND RACIAL GROUPS, AND LARGER NUMBERS OF PATIENTS."
"Brown Tassell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,55000,"","OPERATING"
"National Breast Cancer Foundation, Inc.","TX","Spectrum Health Foundation","Grand Rapids","MI","Breast cancer ",2019,50360,"","Screening &amp; diagnostics &amp; patient navigation"
"Children's Hospital of Michigan Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2019,50000,"Leadership and professional development","TO SUPPORT THE SALARY AND BENEFITS OF A 0.8 FTE SOCIAL WORKER, TO HELP EXPAND BEHAVIORAL HEALTH SERVICES AT THE BEAUMONT TEEN HEALTH CENTER, RIVER ROUGE."
"HEART OF WEST MICHIGAN UNITED WAY","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,43933,"","Designation"
"Arms Wide Open Childhood Cancer Foundation","NJ","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2019,35000,"Research","To beat childhood cancer research fund for neuroblastoma research - DR. Sholler"
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,35000,"","Health care"
"The Children's Hospital of Philadelphia","PA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2019,34400,"Research","Research"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,34000,"General support","GENERAL SUPPORT"
"Hemophilia Foundation of Michigan","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2019,33056,"","Medical services"
"Kutsche Charitable Trust","OH","Spectrum Health Foundation","Big Rapids","MI"," ",2019,31926,"","RESEARCH AND DIAGNOSTIC"
"Community Foundation of the Holland Zeeland Area","MI","Spectrum Health Foundation","Grand Rapids","MI","Suicide crisis intervention ",2019,31600,"","Blue envelope suicide prevention program"
"O'donovan Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,30000,"Research","Precision Medicine Cancer Research"
"Robell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,30000,"General support","SUPPORT"
"The Barton Malow Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2019,30000,"","Human services"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2019,30000,"General support","Unrestricted Grant to General Fund"
"Amyotrophic Lateral Sclerosis Association","VA","Spectrum Health Foundation","Big Rapids","MI","Health ",2019,25000,"","CERTIFIED TREATMENT CENTER OF EXCELLENCE GRANT"
"Amyotrophic Lateral Sclerosis Assn","DC","Spectrum Health Foundation","Grand Rapids","MI","Health ",2019,25000,"","Certified treatment center of excellence grant"
