Grantmaker.Name,Contact,Street.Address.1,Street.Address.2,City,State,ZIP.Code,Country,Telephone,Fax,E.mail,URL,Total.Assets,Total.Giving,Amount.Funded,Grant.Count,RFPs
Del and Jean Doyle Family Foundation,,3330 Broadmoor Ave SE Ste E,NA,Grand Rapids,MI,49512-8192,United States,616-949-9000,,,,438888,37179,500,1,0
Harold D Wetterberg Foundation,,89 Headquarters Plz,NA,Morristown,NJ,07960-6834,United States,9739931743,,,,1602842,147500,500,1,0
Mordell Family Foundation,,10251 W 17th Pl,NA,Kennewick,WA,99338-4527,United States,,,,,N/A,2500,500,1,0
Owen Charitable Foundation,,96 Lighthouse Dr,NA,Jupiter,FL,33469-3511,United States,,,,,158818,386000,500,1,0
Rick and Judy Anderson Family Foundation,,1175 S Milwaukee St,NA,Denver,CO,80210-2022,United States,720-341-3399,,,,579462,8251,500,1,0
Sidney Katzman & Robert Katzman Foundation,,30100 Telegraph Rd Ste 366,NA,Bingham Farms,MI,48025-5800,United States,2486452300,,,,136535,78508,500,1,0
St Clair Charitable Trust,,15840 Lakeview Ct,NA,Grosse Pointe Park,MI,48230-1865,United States,313-823-6280,,,,617080,41600,500,1,0
Litvak Foundation,,365 Pine Ridge Dr,NA,Bloomfield Hills,MI,48304-2140,United States,,,,,N/A,110663,400,1,0
Brenton & Susan Cook Foundation Cook,,864 S Heathwood Dr,NA,Marco Island,FL,34145-5865,United States,269-370-8003,,,,212894,19650,250,1,0
Consumers Energy Foundation,,One Energy Plaza Ep8-210,NA,JACKSON,MI,49201-2276,United States,517-788-0432,,foundation@consumersenergy.com,https://www.consumersenergy.com/community-engagement/foundation,55085639,7820257,250,1,0
International Radiosurgery Research Foundation,,200 Lothrop St Ste B-400,NA,Pittsburgh,PA,15213-2536,United States,412-647-6781,,,HTTP://WWW.IRR-F.ORG,836267,N/A,250,1,0
Lyle and Diane Foundation Medical Research Foundation of Michigan,,6130 Wing Lake Rd,NA,Bloomfield Hills,MI,48301-1531,United States,248-851-9614,,,,352333,114306,250,1,0
Thrivent Financial for Lutherans Foundation,,600 Portland Ave,NA,Minneapolis,MN,55415-4401,United States,612-844-7143,,,http://WWW.THRIVENT.COM,87838588,4895419,250,1,0
Thrivent Financial for Lutherans,,600 Portland Ave,NA,Minneapolis,MN,55415-4401,United States,612-844-5225,,boxcommunityaffairs@thrivent.com,http://WWW.THRIVENT.COM,1.13535E+11,96402125,250,1,0
Arthur J Gallagher Foundation,,2850 Golf Rd Fl 7,NA,Rolling Meadows,IL,60008-4050,United States,630-773-3800,,,,7239988,1403886,200,1,0
Harold and Penny B Blumenstein Foundation Corporation,,32400 Telegraph Rd Ste 202,NA,Bingham Farms,MI,48025-2460,United States,248-646-9600,,,,11065637,1933660,200,1,0
IBM International Foundation,,Co Ibm Tax Dept North Castle Driv,NA,ARMONK,NY,10504,United States,914-499-4690,,,http://www.ibm.com/ibm/responsibility,340584348,11719947,150,1,0
"Masashi Subaru of America, Inc.",,1 Subaru Dr,NA,Camden,NJ,08103-2204,United States,8564888500,,foundation@subaru.com,http://www.subaru.com/company/soa-foundation/index.html,7215320,718329,150,1,0
Cline Foundation,,PO Box 707,NA,Petoskey,MI,49770-0707,United States,517-349-4449,,,,2198543,93880,101,1,0
Cinnaire Corporation,,1118 S Washington Ave,NA,Lansing,MI,48910-1659,United States,517-482-8555,(517) 482-8598,,http://WWW.CINNAIRE.COM,73402742,139417,100,1,0
Laybel Family Foundation,,31070 Oak Valley Dr,NA,Farmington Hills,MI,48331-1422,United States,2482389128,,,,3007753,1027000,100,1,0
Malott Family Foundation,,333 N Michigan Ave Ste 3100,NA,Chicago,IL,60601-4111,United States,312-861-6005,,,,156126406,7155000,100,1,0
The Meer Family Foundation,,26081 Stratford Pl,NA,Oak Park,MI,48237-1029,United States,248-968-4790,,,,6771132,262933,100,1,0
Robert and Sharon Grooters Foundation,,4460 44th St SE Ste C200,NA,Grand Rapids,MI,49512-4096,United States,616-776-0033,,,,100525,57000,100,1,0
C.H. Robinson Worldwide Foundation,,401 E 8th St Ste 319,NA,Sioux Falls,SD,57103-7031,United States,605-336-6832,,foundation@chrobinson.com,https://www.chrobinson.com/en-us/about-us/corporate-responsibility/community/foundation-giving/,26233612,3536981,75,1,0
The McKesson Foundation,,PO Box 819067,NA,Dallas,TX,75381-9067,United States,972-446-4800,,mckessonfoundation@mckesson.com,https://www.mckesson.com/About-McKesson/Impact/McKesson-Foundation/,1615367,13976732,50,1,0
David Kahan Family Foundation,,560 Kirts Blvd Ste 100,NA,Troy,MI,48084-4141,United States,248-362-4666,,,,3931,72742,35,1,0
Lois Walts-Farrell Family Foundation,,4000 Town Ctr Ste 1240,NA,Southfield,MI,48075-1423,United States,,,,,N/A,19,19,1,0
Brother's Brother Foundation,"Laura Kelly, Vice President Of Global Partnerships & Development; Ozzy Samad, President",1200 Galveston Ave,NA,Pittsburgh,PA,15233-1604,United States,412-3213160,412-3213325,osamad@brothersbrother.org,http://www.brothersbrother.org,23987321,188075818,NA,0,0
Direct Relief,"Heather Bennett, Chief Of Staff; Tony Morain, Vice President, Communications",6100 Becknell Rd,NA,Santa Barbara,CA,93117-3265,United States,805-964-4767,(805) 681-4838,tmorain@directrelief.org,https://www.directrelief.org,1186035572,1882818737,NA,0,0
Reach Out and Read Inc,,,NA,,MA,,United States,617-455-0600,(617) 455-0601,info@reachoutandread.org,http://WWW.REACHOUTANDREAD.ORG,29204409,7726829,NA,0,0
